PO #,DATE CREATED,DATE RECEIVED,DUE TO ARRIVE,VENDOR,BUYER,BUYER 2,BUYER 3,APPROVER NAME,INV #,STORE OWNER,PART NUMBER,BUY AS ALT,CONDITION,QTY,QTY REC,LT,EXCH,EXCH FEE / COST EA,OUTRIGHT VALUE,SELLABLE QTY,NOTE,PURCHASED FOR,CANCELLED,CANCELLATION REASON,SYNCED,SYNCING DISABLED
PO-43375,2019-02-11,,,MAHR INC.,System User,,,,,,2152794,,new_item,1,1,,,$939.00,,0,,Stock,FALSE,,FALSE,TRUE
PO-43375,2019-02-11,,,MAHR INC.,System User,,,,,,2152794,,new_item,1,1,,,$939.00,,0,,Stock,FALSE,,FALSE,TRUE
PO-43375,2019-02-11,,,MAHR INC.,System User,,,,,,2152794,,new_item,1,1,,,$939.00,,0,,Stock,FALSE,,FALSE,TRUE
PO-43375,2019-02-11,,,MAHR INC.,System User,,,,,,2152794,,new_item,1,1,,,$939.00,,0,,Stock,FALSE,,FALSE,TRUE
PO-43376,2019-02-11,,,FDH AERO,System User,,,,,,NSA5357-4-18,,new_item,14,14,,,$7.50,,0,,Stock,FALSE,,FALSE,TRUE
PO-43376,2019-02-11,,,FDH AERO,System User,,,,,,NSA5351-5-12,,new_item,2,2,,,$40.00,,0,,Stock,FALSE,,FALSE,TRUE
PO-43377,2019-02-11,,,PROPONENT (CA),System User,,,,,,VL1488PW153-236,,new_item,1,1,,,$33.35,,0,,Stock,FALSE,,FALSE,TRUE
PO-43377,2019-02-11,,,PROPONENT (CA),System User,,,,,,BACB30PN14-25,,new_item,4,4,,,$109.53,,0,,Stock,FALSE,,FALSE,TRUE
PO-43377,2019-02-11,,,PROPONENT (CA),System User,,,,,,BACB30US14-24,,new_item,2,2,,,$142.56,,0,,Stock,FALSE,,FALSE,TRUE
PO-43377,2019-02-11,,,PROPONENT (CA),System User,,,,,,BACW10BP14ACU,,new_item,11,11,,,$2.40,,0,,Stock,FALSE,,FALSE,TRUE
PO-43377,2019-02-11,,,PROPONENT (CA),System User,,,,,,SLR414C14,,new_item,4,4,,,$33.55,,0,,Stock,FALSE,,FALSE,TRUE
PO-43377,2019-02-11,,,PROPONENT (CA),System User,,,,,,M834851-906,,new_item,10,10,,,$0.31,,0,,Stock,FALSE,,FALSE,TRUE
PO-43378,2019-02-11,,,SKYLINE HELICOPTER,System User,,,,,,B123-2,,new_item,3,3,,,$24.50,,0,,Stock,FALSE,,FALSE,TRUE
PO-43959,2019-06-27,,,EIS,System User,,,,,,P-412,,new_item,20,20,,,$9.47,,0,,Stock,FALSE,,FALSE,TRUE
PO-43447,2019-02-18,,,PRIME AIR INC,System User,,,,,,2612529,,new_item,37,37,,,$312.00,,0,,Stock,FALSE,,FALSE,TRUE
PO-43449,2019-02-19,,,STEALTH AEROSPACE,System User,,,,,,617508-1,,new_item,1,1,,,"$3,332.29",,0,,Stock,FALSE,,FALSE,TRUE
PO-3386,2026-01-02,,,VARINA AIR & GROUND SUPPORT,System User,,,,,,VARINAL0TPACKAGE,,new_item,1,1,,,$0.01,,0,,Stock,FALSE,,FALSE,TRUE
PO-33906,2020-10-20,,,NEWS AMERICA INCORPORATED,System User,,,,,,NAS1523AA4R,,new_item,10,10,,,$0.01,,10,,Stock,FALSE,,FALSE,TRUE
PO-37294,2022-01-14,,,"CALJET, INC.",System User,,,,,,002A0004-90,,new_item,2,2,,,$0.01,,0,,Stock,FALSE,,FALSE,TRUE
PO-37294,2022-01-14,,,"CALJET, INC.",System User,,,,,,002A0004-91,,new_item,2,2,,,$0.01,,0,,Stock,FALSE,,FALSE,TRUE
PO-43139,2019-02-19,,,GLOBAL AIRTECH,System User,,,,,,2616988,,new_item,31,31,,,$100.00,,0,,Stock,FALSE,,FALSE,TRUE
PO-43167,2019-02-20,,,TUTOR-SALIBA CORP,System User,,,,,,822-1338-205,,repaired,1,1,,,$0.01,,2,,Stock,FALSE,,FALSE,TRUE
PO-43174,2019-01-02,,,"INFINITY AIR, INC",System User,,,,,,8201-11-0000,,overhauled,1,1,,,"$5,500.00",,0,,Stock,FALSE,,FALSE,TRUE
PO-43176,2019-01-02,,,STS COMPONENT SOLUTIONS,System User,,,,,,146A8342-8,,new_item,2,2,,,"$1,017.44",,0,,Stock,FALSE,,FALSE,TRUE
PO-43178,2019-01-02,,,CRESCENT HEIGHTS FLIGHT DEPARTMENT,System User,,,,,,284A1801-2,,as_removed,1,1,,,$0.01,,0,,Stock,FALSE,,FALSE,TRUE
PO-43179,2019-01-02,,,INTERSKY INC,System User,,,,,,SIC5077-4,,overhauled,1,1,,,"$11,900.00",,2,,Stock,FALSE,,FALSE,TRUE
PO-43181,2019-01-02,,,PRIME AIR INC,System User,,,,,,2612875,,new_item,9,9,,,"$1,600.00",,0,,Stock,FALSE,,FALSE,TRUE
PO-43182,2019-01-02,,,MAGELLAN AVIATION GROUP,System User,,,,,,3-1546,,overhauled,1,1,,,"$14,000.00",,0,,Stock,FALSE,,FALSE,TRUE
PO-43182,2019-04-02,,,MAGELLAN AVIATION GROUP,System User,,,,,,3-1596,,overhauled,1,1,,,"$9,500.00",,0,,Stock,FALSE,,FALSE,TRUE
