SO #,DATE CREATED,DATE SHIPPED,CUSTOMER,SELLER,CUSTOMER RMA,INV #,CANCELLED,CANCELLATION REASON,PAID DATE,AMOUNT PAID,CUSTOMER PO #,STORE OWNER,STORE LOC,LOCATION,WH #,PART #,DESC,SELL AS ALT,SERIAL #,CD,QTY,COST AT TIME OF SALE,COST PER UNIT,EXCH FEE / SALES EA,REPAIR COST,REPAIR ADMIN FEE,OUTRIGHT VALUE,EXCHANGE TYPE,CORE EXPECTED DATE,CORE RETURN DATE,CORE DUE DAYS,PROFIT,NOTE,CONSIGNMENT #,CONSIGNOR,SYNCED,SYNCING DISABLED
SO-40061,2026-03-17 06:59 AM,,WARREN COUNTY CAREER CENTER,System User,,40061,FALSE,,,0.04,150GY,USA,USA,Shipped,,150GY,WATER FILTER,,NSN,as_removed,4,0,0,0.01,,,,,,,,0.01,,,,FALSE,TRUE
SO-40057,2026-03-16 07:57 AM,,FALCON AVIATION HOLDING LLC,System User,,40057,FALSE,,,360,30515-03162026,USA,USA,Shipped,,139-00-117-04,CLIP - SEATPAN,,NSN,new_item,8,0,0,45,,,,,,,,45,,,,FALSE,TRUE
SO-39964,2026-02-26 08:01 AM,,CITADEL COMPLETIONS,System User,,39964,FALSE,,,2002.33,PO26-00988,USA,USA,Shipped,,S1823502-02,ELT,,TM0000192152,repaired,1,0,0,2002.33,,,,,,,,2002.33,,,,FALSE,TRUE
SO-39964,2026-02-26 08:00 AM,,CITADEL COMPLETIONS,System User,,39964,FALSE,,,868.75,PO26-00988,USA,USA,Shipped,,S1823502-05,ELT,,KA0022197006,repaired,1,0,0,868.75,,,,,,,,868.75,,,,FALSE,TRUE
SO-40049,2026-03-12 08:22 AM,,FREEDOM II LLC,System User,,40049,FALSE,,,845.27,MIKE - CONNECTOR,USA,USA,Shipped,,BACC63BP18C8P9,CONNECTOR,,NSN,new_item,1,0,0,845.27,,,,,,,,845.27,,,,FALSE,TRUE
SO-40046,2026-03-12 06:14 AM,,JETRAN LLC & SPECTRE AIR CAPITAL LLC,System User,,40046,FALSE,,,249.99,MARIO - CLAMPS,USA,USA,Shipped,,BACC10HB08C,SADDLE,,NSN,new_item,3,0,0,83.33,,,,,,,,83.33,,,,FALSE,TRUE
SO-40045,2026-03-12 05:29 AM,,AVIATION PARTS EXECUTIVE INC.,Ben Allen,,40045,FALSE,,,7500,P146502,USA,USA,Shipped,,822-2647-103,"HTSE-6116, TOUCHSCREEN",,3360-2334,as_removed,1,0,0,7500,,,,,,,,7500,,,,FALSE,TRUE
SO-40044,2026-03-12 04:59 AM,,GLOBAL JET ARUBA,Ben Allen,,40044,FALSE,,,3950,JOHN 53-0014,USA,USA,Shipped,,53-0014,ACTUATOR - MOTOR,,24136025,repaired,1,0,0,3950,,,,,,,,3950,,,,FALSE,TRUE
SO-40054,2026-03-13 09:08 AM,,CITADEL COMPLETIONS,System User,,40054,TRUE,Other,,0,PO26-01226,USA,USA,,,174101-03-01,MULTIPURPOSE CONTROL DISPLAY UNIT (MCDU),,NSN,overhauled,1,0,0,0,0,,0,1,,,,0,,,,FALSE,TRUE
SO-39896,2026-02-12 09:41 AM,,KING AEROSPACE COMMERCIAL CORP.,System User,,39896,TRUE,Other,,0,56940,USA,USA,,,P665A0001-02,SPOILER ACTUATOR,,AAB650P665,repaired,1,0,0,0,0,,0,1,,,,0,"Core charges were received totaling $60,223.72
Repair: $54,421.57
Service Fee: $5,442.15
Freight: $360",,,FALSE,TRUE
SO-39896,2026-02-12 09:41 AM,,KING AEROSPACE COMMERCIAL CORP.,System User,,39896,TRUE,Failed Test Or Install,,0,56940,USA,USA,,,P665A0001-02,SPOILER ACTUATOR,,AAB650P665,repaired,1,0,0,0,0,,0,1,,,,0,"Core charges were received totaling $60,223.72
Repair: $54,421.57
Service Fee: $5,442.15
Freight: $360",,,FALSE,TRUE
SO-40065,2026-03-18 01:27 AM,2026-04-08 10:55 AM,EUROPEAN AIR TRANSPORT LEIPZIG GMBH,System User,,40065,TRUE,Other,,3980,2699616,USA,USA,Shipped to Customer,,E0058Z01W00A,RELAY,,NSN,new_item,4,0,0,995,,,,,,,,995,,,,FALSE,FALSE
SO-40040,2026-03-11 09:01 AM,,ALOFT AEROARCHITECTS,System User,,40040,FALSE,,,4250,P26-01531,USA,USA,Shipped,,L13471-19,RAPID WATER BOILER,,306,overhauled,1,0,0,4250,,,,,,,,4250,,,,FALSE,TRUE
SO-39978,2026-03-02 09:10 AM,,TAMCO SERVICES LIMITED,System User,,39978,TRUE,Other,,0,PO #TBD - P/N 124-838,USA,USA,,,124-838,OIL TEMP INDICATOR,,NSN,overhauled,1,0,0,0,0,,0,1,,,,0,,,,FALSE,TRUE
SO-39881,2026-02-10 07:39 AM,,517 FLIGHT LLC,System User,,39881,TRUE,Failed Test Or Install,,0,BREAK TEMP VALVE,USA,USA,,,398908-3,TEMPERATURE  CONTROL VALVE,,5592,overhauled,1,0,0,0,0,,0,1,,,,0,,,,FALSE,TRUE
SO-40039,2026-03-11 08:32 AM,,FALCON AVIATION HOLDING LLC,System User,,40039,FALSE,,,649,JEFF - HOSES,USA,USA,Shipped,,AS1591-06-0560A,HOSE,,NSN,new_item,1,0,0,649,,,,,,,,649,,,,FALSE,TRUE
SO-39881,2026-02-10 07:39 AM,,517 FLIGHT LLC,System User,,39881,TRUE,Other,,0,BREAK TEMP VALVE,USA,USA,,,398908-3,TEMPERATURE  CONTROL VALVE,,5592,overhauled,1,0,0,0,0,,3950,1,2026-04-24,,30,0,,,,FALSE,TRUE
SO-40038,2026-03-11 07:06 AM,,KING AEROSPACE ARKANSAS INC,System User,,40038,FALSE,,,400,BEN52945,USA,USA,Shipped,,F013WWBCAC,LAMP,,NSN,new_item,2,0,0,200,,,,,,,,200,,,,FALSE,TRUE
SO-40037,2026-03-11 04:11 AM,,FALCON AVIATION HOLDING LLC,System User,,40037,FALSE,,,299,JEFF- HOSES,USA,USA,Shipped,,AS1591-06-0440A,HOSE,,NSN,new_item,1,0,0,299,,,,,,,,299,,,,FALSE,TRUE
SO-40034,2026-03-11 01:35 AM,,EUROPEAN AIR TRANSPORT LEIPZIG GMBH,System User,,54856,FALSE,,,14900,2698648,USA,USA,Shipped,,2-7457-11,MLG DOOR ACTUATOR,,1794,overhauled,1,0,0,14900,,,,,,,,14900,,,,FALSE,TRUE
SO-39878,2026-02-10 04:41 AM,,KING AEROSPACE COMMERCIAL CORP.,System User,,39878,FALSE,,,11500,56857,USA,USA,Shipped,1T,P665A0001-02,SPOILER ACTUATOR,,BAB370P665,repaired,1,0,0,11500,0,,11500,1,2026-05-13,2026-04-24,30,11500,,,,FALSE,TRUE
SO-40035,2026-03-11 01:51 AM,,EUROPEAN AIR TRANSPORT LEIPZIG GMBH,System User,,54842,FALSE,,,31500,2698628,USA,USA,Shipped,,284T0052-24,RADOME,,975,overhauled,1,0,0,31500,,,,,,,,31500,,,,FALSE,TRUE
